mode: set
greenlight.bcc/cmd/api/context.go:14.88,17.2 2 1
greenlight.bcc/cmd/api/context.go:19.68,21.9 2 1
greenlight.bcc/cmd/api/context.go:24.2,24.13 1 1
greenlight.bcc/cmd/api/context.go:21.9,22.49 1 0
greenlight.bcc/cmd/api/routes.go:10.47,33.2 14 0
greenlight.bcc/cmd/api/routes.go:35.51,60.2 17 1
greenlight.bcc/cmd/api/users.go:12.85,20.16 3 1
greenlight.bcc/cmd/api/users.go:25.2,32.16 3 1
greenlight.bcc/cmd/api/users.go:36.2,38.44 2 1
greenlight.bcc/cmd/api/users.go:43.2,44.16 2 1
greenlight.bcc/cmd/api/users.go:55.2,56.16 2 1
greenlight.bcc/cmd/api/users.go:61.2,62.16 2 1
greenlight.bcc/cmd/api/users.go:67.2,67.24 1 1
greenlight.bcc/cmd/api/users.go:78.2,79.16 2 1
greenlight.bcc/cmd/api/users.go:20.16,23.3 2 1
greenlight.bcc/cmd/api/users.go:32.16,35.3 2 0
greenlight.bcc/cmd/api/users.go:38.44,41.3 2 1
greenlight.bcc/cmd/api/users.go:44.16,45.10 1 1
greenlight.bcc/cmd/api/users.go:52.3,52.9 1 1
greenlight.bcc/cmd/api/users.go:46.47,48.48 2 1
greenlight.bcc/cmd/api/users.go:49.11,50.38 1 0
greenlight.bcc/cmd/api/users.go:56.16,59.3 2 0
greenlight.bcc/cmd/api/users.go:62.16,65.3 2 0
greenlight.bcc/cmd/api/users.go:67.24,74.17 3 1
greenlight.bcc/cmd/api/users.go:74.17,76.4 1 0
greenlight.bcc/cmd/api/users.go:79.16,81.3 1 0
greenlight.bcc/cmd/api/users.go:84.85,90.16 3 1
greenlight.bcc/cmd/api/users.go:95.2,96.70 2 1
greenlight.bcc/cmd/api/users.go:101.2,102.16 2 1
greenlight.bcc/cmd/api/users.go:113.2,116.16 3 1
greenlight.bcc/cmd/api/users.go:126.2,127.16 2 1
greenlight.bcc/cmd/api/users.go:132.2,133.16 2 1
greenlight.bcc/cmd/api/users.go:90.16,93.3 2 1
greenlight.bcc/cmd/api/users.go:96.70,99.3 2 1
greenlight.bcc/cmd/api/users.go:102.16,103.10 1 1
greenlight.bcc/cmd/api/users.go:110.3,110.9 1 1
greenlight.bcc/cmd/api/users.go:104.47,106.48 2 1
greenlight.bcc/cmd/api/users.go:107.11,108.38 1 0
greenlight.bcc/cmd/api/users.go:116.16,117.10 1 0
greenlight.bcc/cmd/api/users.go:123.3,123.9 1 0
greenlight.bcc/cmd/api/users.go:118.45,119.34 1 0
greenlight.bcc/cmd/api/users.go:120.11,121.38 1 0
greenlight.bcc/cmd/api/users.go:127.16,130.3 2 0
greenlight.bcc/cmd/api/users.go:133.16,135.3 1 0
greenlight.bcc/cmd/api/errors.go:8.62,13.2 1 1
greenlight.bcc/cmd/api/errors.go:15.104,19.16 3 1
greenlight.bcc/cmd/api/errors.go:19.16,22.3 2 0
greenlight.bcc/cmd/api/errors.go:25.96,29.2 3 1
greenlight.bcc/cmd/api/errors.go:31.82,34.2 2 1
greenlight.bcc/cmd/api/errors.go:36.90,39.2 2 1
greenlight.bcc/cmd/api/errors.go:41.95,43.2 1 1
greenlight.bcc/cmd/api/errors.go:45.116,47.2 1 1
greenlight.bcc/cmd/api/errors.go:49.86,52.2 2 0
greenlight.bcc/cmd/api/errors.go:54.91,57.2 2 1
greenlight.bcc/cmd/api/errors.go:59.92,62.2 2 1
greenlight.bcc/cmd/api/errors.go:64.100,68.2 3 1
greenlight.bcc/cmd/api/errors.go:70.96,73.2 2 1
greenlight.bcc/cmd/api/errors.go:75.89,78.2 2 1
greenlight.bcc/cmd/api/errors.go:80.86,83.2 2 1
greenlight.bcc/cmd/api/healthcheck.go:7.84,18.16 3 1
greenlight.bcc/cmd/api/healthcheck.go:18.16,20.3 1 0
greenlight.bcc/cmd/api/helpers.go:18.69,21.26 3 1
